,Company Name,Position,Location,Apply Link,Details
319,LTI - Larsen & Toubro Infotech,Specialist - Software Engineering,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3051488040/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=AALOFs6PCvC%2BIPnogQS3qg%3D%3D&trk=flagship3_search_srp_jobs,"Web Developer will develop innovative and reusable Web-based applications for World Bank operational products. Working closely with our project managers and functional and UX team members, the web developer's primary responsibilities include developing specifications and making recommendations on the use of new and emerging technologies, as well as performing programming and web design.
Develop good quality code using HTML, Java script, CSS, Angular etc.
Develop code to integrate various data sources
Creation of a fully-functional website based on technical specifications to be provided to him/her.
Documentation of his work in the project"
320,Citi,Java Developer - Chennai,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3135489429/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=qJEU013A5thBqxR0XIcHMw%3D%3D&trk=flagship3_search_srp_jobs,"Job Id: 22425790

The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.

Responsibilities:
Utilize knowledge of applications development procedures and concepts, and basic knowledge of other technical areas to identify and define necessary system enhancements, including using script tools and analyzing/interpreting code
Consult with users, clients, and other technology groups on issues, and recommend programming solutions, install, and support customer exposure systems
Apply fundamental knowledge of programming languages for design specifications.
Analyze applications to identify vulnerabilities and security issues, as well as conduct testing and debugging
Serve as advisor or coach to new or lower level analysts
Identify problems, analyze information, and make evaluative judgements to recommend and implement solutions
Resolve issues by identifying and selecting solutions through the applications of acquired technical experience and guided by precedents
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
4-6 years of relevant experience in the Financial Service industry
Intermediate level experience in Applications Development role
Consistently demonstrates clear and concise written and verbal communication
Demonstrated problem-solving and decision-making skills
Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

-------------------------------------------------

Job Family Group:

Technology

-------------------------------------------------

Job Family:

Applications Development

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
321,Cognizant,Sr. Associate - Projects,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3108750102/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=EhzSpVY0K5SRyedS5le61A%3D%3D&trk=flagship3_search_srp_jobs,"Technical Lead

Qualification

Science,Engineering Graduate

Responsibility

Requirement Gathering
Participate in requirement gathering JAD sessions and support documentation where applicable (business functional UI usability data compliance data migration NFR 3rd party tools and products).
Raise queries and get query resolution on areas which are unclear ambiguous and which need more information to the Technology Lead.
Resource,Efforts Estimation and Monitoring.
Understand how the estimation(effort size etc)is done at task level in the area of work concerned measure and report the actual effort against the estimated effort and ensure task progress reporting in C20 or any other applicable tool\Design and Analysis.
Create the HL Design and detailed design document with the support of architects for the assigned scope.
Review all deliverables created by the Developer.
Study non functional requirements and designfor NFR as required.
Understand the interdependencies of the various components in work packages being developed.
Create detailed design and assign to developer,provide input to the Project Manager,Technical Lead to create the project plan from a technical perspective,support development of proof of concept as designed by Designer,Solution Architect,initiate development environment setup.
Provide demo to customer for early feedback,create quality check points for all deliverables.
Coding.
Develop tier coding business layer coding interface development service development creation of stored procedures etc as applicable for the work package,project.
CTS and customer spectific coding coding standards guidelines and best practices,Understand the database concepts and write efficient queries,raise clarifications,issues,concerns regarding work output to the lead.
Seek review from peer,technical lead periodically,participate in setup activities for required environment setup,deploy code build in testing environment, conduct peer review during design coding and testing.
Complete documentation as per the scope,prepare guidelines and checklist for development and testing activities.
Provide feedback to design team,share feedback with developers to check if code is as per requirements.
Incorporate changes as per feedback,provide necessary and timely status updates to the Supervisor,Technical Lead.
Highlight any potential risks to the leads.
Update traceability matrix for the work package developed,mentor the Developers to help them solve technical difficulties in the course of coding.
Follow the SCM policies set for project,raise clarifications,issues,concerns regarding work output to the lead on time,provide necessary and timely status updates to the Supervisor,Technical Lead.
Proactively highlight any potential risks to the lead,provide support on process audit activities,adhere to process and tools(usage of cognizant 20 awareness of Quality Management System).
Testing.
Develop comprehensive unit testing cases and unit test plans,conduct comprehensive unit testing,create unit test logs.
Prepare and support in preparation of unit test strategy,plan document and data requirements,automate unit testing and contribute to automation of unit testing.
Conduct peer review of unit test cases,perform developer integration testing by integrating the components.
Review test cases as prepared by the Developer.
Defect Management.
Participate in defect triage meetings,conduct RCA for defects identified.
Rework on the code based on review comments from code review,defects raised in unit testing peer testing SIT UAT testing or any other relevant testing phases.
Assist in transition of knowledge and to support organization with any defects raised post production as required.
Process Improvements and Adherence.
Participate in innovation sessions,implement process improvements to reduce manual intervention (eg automation).

Must Have Skills
CSS 3.0
Angular JS
HTML 5
Employee Status : Full Time Employee

Shift : Day Job

Travel : No

Job Posting : Jun 03 2022

About Cognizant

Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant. 000480413414"
322,Cognizant,Sr. Associate - Projects,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3112085296/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=9FNUBrACRPjupIeWQKYbuQ%3D%3D&trk=flagship3_search_srp_jobs,"Technical Lead

Qualification

Science,Engineering Graduate

Responsibility

Requirement Gathering
Participate in requirement gathering JAD sessions and support documentation where applicable (business functional UI usability data compliance data migration NFR 3rd party tools and products).
Raise queries and get query resolution on areas which are unclear ambiguous and which need more information to the Technology Lead.
Resource,Efforts Estimation and Monitoring.
Understand how the estimation(effort size etc)is done at task level in the area of work concerned measure and report the actual effort against the estimated effort and ensure task progress reporting in C20 or any other applicable tool\Design and Analysis.
Create the HL Design and detailed design document with the support of architects for the assigned scope.
Review all deliverables created by the Developer.
Study non functional requirements and designfor NFR as required.
Understand the interdependencies of the various components in work packages being developed.
Create detailed design and assign to developer,provide input to the Project Manager,Technical Lead to create the project plan from a technical perspective,support development of proof of concept as designed by Designer,Solution Architect,initiate development environment setup.
Provide demo to customer for early feedback,create quality check points for all deliverables.
Coding.
Develop tier coding business layer coding interface development service development creation of stored procedures etc as applicable for the work package,project.
CTS and customer spectific coding coding standards guidelines and best practices,Understand the database concepts and write efficient queries,raise clarifications,issues,concerns regarding work output to the lead.
Seek review from peer,technical lead periodically,participate in setup activities for required environment setup,deploy code build in testing environment, conduct peer review during design coding and testing.
Complete documentation as per the scope,prepare guidelines and checklist for development and testing activities.
Provide feedback to design team,share feedback with developers to check if code is as per requirements.
Incorporate changes as per feedback,provide necessary and timely status updates to the Supervisor,Technical Lead.
Highlight any potential risks to the leads.
Update traceability matrix for the work package developed,mentor the Developers to help them solve technical difficulties in the course of coding.
Follow the SCM policies set for project,raise clarifications,issues,concerns regarding work output to the lead on time,provide necessary and timely status updates to the Supervisor,Technical Lead.
Proactively highlight any potential risks to the lead,provide support on process audit activities,adhere to process and tools(usage of cognizant 20 awareness of Quality Management System).
Testing.
Develop comprehensive unit testing cases and unit test plans,conduct comprehensive unit testing,create unit test logs.
Prepare and support in preparation of unit test strategy,plan document and data requirements,automate unit testing and contribute to automation of unit testing.
Conduct peer review of unit test cases,perform developer integration testing by integrating the components.
Review test cases as prepared by the Developer.
Defect Management.
Participate in defect triage meetings,conduct RCA for defects identified.
Rework on the code based on review comments from code review,defects raised in unit testing peer testing SIT UAT testing or any other relevant testing phases.
Assist in transition of knowledge and to support organization with any defects raised post production as required.
Process Improvements and Adherence.
Participate in innovation sessions,implement process improvements to reduce manual intervention (eg automation).

Must Have Skills
CSS 3.0
Angular JS
HTML 5
JavaScript
Employee Status : Full Time Employee

Shift : Day Job

Travel : No

Job Posting : Jun 03 2022

About Cognizant

Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant. 000482021926"
323,Infosys,Node JS Architect,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/2866976912/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=X2Z5ajcg8ZgYTEVV9dETtw%3D%3D&trk=flagship3_search_srp_jobs,"Primary skills:Reactive Programming->Node JS (node/ node.js) ,UI & Markup Language->NodeJS
A day in the life of an Infoscion
As part of the Infosys delivery team, your primary role would be to provide best fit architectural solutions for one or more projects.
You would also provide technology consultation and assist in defining scope and sizing of work
You would implement solutions, create technology differentiation and leverage partner technologies.
Additionally, you would participate in competency development with the objective of ensuring the best-fit and high quality technical solutions.
You would be a key contributor in creating thought leadership within the area of technology specialization and in compliance with guidelines, policies and norms of Infosys. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Knowledge of architectural design patterns, performance tuning, database and functional designs
Hands-on experience in Service Oriented Architecture
Ability to lead solution development and delivery for the design solutions
Experience in designing high level and low level documents is a plus
Good understanding of SDLC is a pre-requisite
Awareness of latest technologies and trends
Logical thinking and problem solving skills along with an ability to collaborate"
324,Citi,Incremental Developer for SNC C12 Chennai,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3039170919/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=X7ZYxduuIaJoaVfkAqgGRg%3D%3D&trk=flagship3_search_srp_jobs,"Job Id: 22474595

The IT Quality Sr Analyst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates moderately complex and variable issues with substantial potential impact, where development of an approach/taking of an action involves weighing various alternatives and balancing potentially conflicting situations using multiple sources of information. Requires good analytical skills in order to filter, prioritize and validate potentially complex and dynamic material from multiple sources. Strong communication and diplomacy skills are required. Regularly assumes informal/formal leadership role within teams. Involved in coaching and training of new recruits Significant impact in terms of project size, geography, etc. by influencing decisions through advice, counsel and/or facilitating services to others in area of specialization. Work and performance of all teams in the area are directly affected by the performance of the individual.

Responsibilities:
Responsible for initiatives related to User Acceptance Testing (UAT) process and product rollout into production, making recommendations of solutions and improvements. Responsibilities may also include software quality assurance testing.
Conducts complex process monitoring, product evaluation and audit assignments; reports issues and makes recommendations for solutions.
Ensures project standards and procedures exist, are fully / clearly documented and followed throughout the software development life cycle; makes recommendations for enhanced documentation.
Monitors products for conformance to standards; monitors processes for conformance to procedures; identifies risks and recommends solutions; ensures annual organizational reviews of standards and procedures are conducted.
Documents findings and performs root cause analyses to provide recommended improvements. Independently recommends solutions and improvements to existing standards and procedures; collaborates with other areas in technology to develop new standards and procedures.
Ensures all corrective actions are assigned, documented and completed. Verifies traceability in project work products. Gathers, maintains and creates reports on quality metrics.
Exhibits sound understanding of concepts and principles in own technical area and a basic knowledge of these elements in other areas.
Requires in-depth understanding of how own area integrates within IT Quality and has basic commercial awareness.
Acts as advisor and mentor for junior members of the team.
Makes evaluative judgments based on analysis of factual information in complicated and novel situations and provides solutions to problems.
Has direct impact on the team and closely related teams by ensuring the quality of the tasks/services/information provided by self and others.
Requires sound and comprehensive communication and diplomacy skills to exchange complex information.
Performs other duties and functions as assigned.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
5-8 years experience in an IT Quality role.
Demonstrated execution capabilities.
Development experience in a fast-paced, time-to-market driven environment Experience with test automation, test scenario and test scripts creation and modification Comfortable with writing complex queries Experience with reporting tools. Hands on experience with testing automation tools.
Project management experience preferred
Education:
Bachelor’s/University degree or equivalent experience
-------------------------------------------------

Job Family Group:

Technology

-------------------------------------------------

Job Family:

Technology Quality

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
325,Klenty,User Interface Designer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3122121435/?eBP=CwEAAAGBoMkAhcdafTrwMZvYqpzzolakSKpTYGj5oPIuBZBMcLBcDweXrIwSzNFkFH1DsPx8lVaoEhCD36xihe6wtVY3xzZz8WsjSBFAG6hfqMzUvCYmgpgXq84wjgG5UK2wTSZXE64bJqfazAs4_HKGNnFGidXpZ3n25ZqlSZsFMZ0_j0Gbqt3Kf-nPIwrBfmT09zRxVjjqo8qna03Uexi6yVu9pzFEYAUbOZc58O-UxvJykP9lsBXU_B6XiAif1VYwjrkGHzWuegjed5SIG3xaUgtkSYYssBugjqFpHvaH4Y_6BEbXIFH5xi1ieChNlPn2i23nmMwsICbvGbyBcUbsjNtdMadYAbVoe1LGIFvnn9_Gm4PBN6ICcUrnTLcbEe-BSjT9mOUTc3RlpvxM441McmAcAMMfwrugBIfU0akCqsOOdPaysunc&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=vwAjGWxwT%2FHMwfQAvipUOA%3D%3D&trk=flagship3_search_srp_jobs,"About Klenty

Klenty is a Software Product company operating in the Sales Engagement category.

One of the fastest growing SAAS startups in the sales engagement space, Klenty is headquartered in California and operates from Chennai, India.

Klenty’s Sales Engagement Product helps thousands of sales teams automate all the repetitive activities involved in the sales process like sending emails, follow-ups, tracking engagement metrics, etc - so that the sales team can focus more on activities like building relationships and closing deals.

With over 3000 customers all over the world, we are on a mission to transform every B2B Sales team into an unstoppable force
Join us in building the future of sales engagement software.

Roles and Responsibilities
Problem solving
work with PMs to understand problems and help visualize their solutions
Collaborate with developers and ux writers on solutions
Provide multiple possibilities until you find the right solution
conduct user research to understand users, including attending customer calls and watching session recordings
look for and provide solutions to usability problems
keep the design system up to date

Required Skillset

Hands-on experience creating wireframes, prototypes, storyboards, user flows, etc.
Experience using tools such as Figma, Photoshop, Sketch, Illustrator
Must have experience in designing for SaaS products
Solve design problems across the product
Work with other designers in the team
1 to 2 years of experience in UI/UX Design"
326,Amazon,"Software Development Engineer - Test, FireTV","Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3022895308/?eBP=CwEAAAGBoMkAhUS-o1gVBfmxE2LZr78HAKTe1b7zs78xvQM1Z3BYlCnlBg3Uowvn2pRcFjUpbGgwBetFZTsBO5iL8m9Wio_JwObmQ7Wj1jKNbEk0HGBmhvK4uoIk-BA_JyHNZAgAa17KJrpZ6E87tfLWpLEfPCgwdh6mTTUEE4y_gwQmAYrYkEG6-wS41UXTxVEOp8d37hcDjDcRJONpWTSEM716mych4JyN0yQJFWADBsbMwAzzuVI1JyqYEMIHJ4H2gXrpiuTheRd16J9bha-ZkB-Wv1VdvYRkzsRrHUkkMpfUUZfjw9cqN5S2X7L31xYBGqhZA8vb10tmnwxUNEHxsOoS9SmicQ&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=QojGUK1HTayPZJIkf06ySg%3D%3D&trk=flagship3_search_srp_jobs,"Job Summary

DESCRIPTION

In the Amazon Fire TV team, we are creating the most engaging entertainment platform for the whole family, worldwide. Be part of a fast-paced, agile and innovative team who is delivering new experiences to Fire TV devices in a startup like environment.

Key job responsibilities

As An SDET, Your Responsibilities Will Include
Build and maintain an automated test infrastructure for a multi-platform product that will be used to validate all aspects of the product operation.
Integrate with Build infrastructure to establish a continuous build and test cycle.
Establish processes and tools set to maintain automation scripts and generate regular test reports.
A day in the life

We are looking for a passionate, talented Software Development Engineer in Test (SDET) who can drive key engineering and business decisions that impact Amazon’s long-term vision, including innovation in the delivery and consumption of media and entertainment. In this development role, you will have an opportunity to make a large impact on the design, architecture and quality of cutting edge products used every day, by people you know.

About The Team

Our team is on an exciting growth journey, we are involved in new device launches and working out how to scale our operations efficiently.


Basic Qualifications
Bachelor’s degree in Computer Science, Computer Engineering or similar technical field
Extensive professional hands-on experience as a Software Development Engineer in Test (SDET)
Proficiency in, at least, one programming language C++, Java, or Python
Experience developing high quality automation
Ability to programmatically test the product; measure test coverage; develop automation, profiling, and performance/load testing tools; and drive testability and diagnostic ability into the product.
Preferred Qualifications
Master’s degree in Computer Science, Computer Engineering or similar technical field
Experience in automation development on Android applications for performance and stress tests.
Experience with Android instrumentation and UI automation
Experience with consumer electronic devices
Experience with web services and REST APIs
Ability to triage issues, react well to changes, work with teams and ability to multi-task on multiple products and projects
Excellent communication, collaboration, reporting, analytical and problem solving skills

Company - ADCI - Tamil Nadu

Job ID: A1897573"
327,Citi,Apps Dev Intermed Prgmr Anlyst,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3005940382/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=zmbhCcvr7XgmewLoAmTyKg%3D%3D&trk=flagship3_search_srp_jobs,"Job Id: 22464934

The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.

Responsibilities:
Utilize knowledge of applications development procedures and concepts, and basic knowledge of other technical areas to identify and define necessary system enhancements, including using script tools and analyzing/interpreting code
Consult with users, clients, and other technology groups on issues, and recommend programming solutions, install, and support customer exposure systems
Apply fundamental knowledge of programming languages for design specifications.
Analyze applications to identify vulnerabilities and security issues, as well as conduct testing and debugging
Serve as advisor or coach to new or lower level analysts
Identify problems, analyze information, and make evaluative judgements to recommend and implement solutions
Resolve issues by identifying and selecting solutions through the applications of acquired technical experience and guided by precedents
Has the ability to operate with a limited level of direct supervision.
Can exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
8-10 years of relevant experience in the Financial Service industry
Consistently demonstrates clear and concise written and verbal communication
Demonstrated problem-solving and decision-making skills
Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

Technical / Functional Proficiency:
Experience in Core Java (1.6 or higher) and JavaScript
Spring, spring boot, Hibernate, Microservices
Experience in REST web service development.
Experience in SQL and understanding of basic principles of data modelling.
Experience in performance tuning of the application.
Experience in Banking and Financial Domain
Experience in Agile frameworks/ projects
Understanding/Knowledge of JIRA
Excellent problem solving, analytical skills and communication skills.
Leadership Skills:
Candidate should have the ability to work as a partner with multiple stakeholders smoothly against challenging timelines
Ability to work effectively in cross-organizational situations and be enthusiastic about building quality software products with world-class people, processes and tools.
Possess highly effective written and oral communication skills; excellent organizational and project management skills.
Promotes teamwork and maintains effective communication within and across groups.
Promotes continuous process improvement
Should be self-motivated individual and creative thinker who will take ownership and accountability
Should able to exhibit Citi leadership standards
-------------------------------------------------

Job Family Group:

Technology

-------------------------------------------------

Job Family:

Applications Development

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
328,Wipro,Developer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3055883272/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nNq0%2BkEZYotp4DsN0hL6TA%3D%3D&trackingId=DO565%2Bzb4QYlci2kDQmgQg%3D%3D&trk=flagship3_search_srp_jobs,"Key skills required for the job are: n Salesforce Platform Development-L1, (Mandatory) .As a Consultant, you should have in-depth knowledge in any one technological or industry practice / functional area and overview of 2-3 other areas. You should handle solution definition/ fitment for a small sized project with a medium complexity. You should be able to build a custom Function Module with medium complexity program logic. Minimum work experience: 5 - 8 YEARS ""As a Lead, you are responsible for managing a small team of analysts, developers, testers or engineers and drive delivery of a small module within a project (Delivery/Maintenence/Testing) You may serve as entry level specialist with expertise in particular technology/industry domain/a process / application / product. You are responsible for functionalechnical track of a project."""
